player_id,total_snaps,pass_snaps,run_snaps,total_pressures,total_tfls,pressure_generated,tfl_rate,player_name,position,team
00-0033073,689,425,264,65,25,0.15294117647058825,0.0946969696969697,Emmanuel Ogbah,DL,JAX
00-0039850,519,288,231,44,28,0.1527777777777778,0.12121212121212122,Edgerrin Cooper,LB,GB
00-0039852,878,511,367,78,30,0.15264187866927592,0.08174386920980926,Jared Verse,LB,LA
00-0031054,604,328,276,50,29,0.1524390243902439,0.10507246376811594,DaQuan Jones,DL,BUF
00-0038545,491,204,287,31,15,0.15196078431372548,0.05226480836236934,Mazi Smith,DL,NYJ
00-0036933,569,343,226,52,18,0.15160349854227406,0.07964601769911504,Zaven Collins,LB,ARI
00-0036500,981,515,466,78,44,0.15145631067961166,0.0944206008583691,Jamien Sherwood,LB,NYJ
00-0033072,579,351,228,53,11,0.150997150997151,0.04824561403508772,Leonard Floyd,DL,ATL
00-0032146,538,338,200,51,16,0.15088757396449703,0.08,Bud Dupree,LB,LAC
00-0036916,619,365,254,55,28,0.1506849315068493,0.11023622047244094,Milton Williams,DL,NE
00-0032378,548,306,242,46,23,0.1503267973856209,0.09504132231404959,DeForest Buckner,DL,IND
00-0033120,685,393,292,59,34,0.15012722646310434,0.11643835616438356,Kenny Clark,DL,DAL
00-0029255,1189,633,556,95,47,0.1500789889415482,0.08453237410071943,Bobby Wagner,LB,WAS
00-0039138,868,514,354,77,30,0.14980544747081712,0.0847457627118644,Kobie Turner,DL,LA
00-0034373,702,401,301,60,25,0.14962593516209477,0.08305647840531562,Dorance Armstrong,DL,WAS
00-0038398,445,275,170,41,17,0.14909090909090908,0.1,Karl Brooks,DL,GB
00-0039112,430,242,188,36,20,0.1487603305785124,0.10638297872340426,Lukas Van Ness,DL,GB
00-0034825,692,363,329,54,37,0.1487603305785124,0.11246200607902736,Arden Key,LB,TEN
00-0036995,351,222,129,33,15,0.14864864864864866,0.11627906976744186,Baron Browning,LB,ARI
00-0036479,631,357,274,53,24,0.1484593837535014,0.08759124087591241,Kwity Paye,DL,IND
00-0038995,663,413,250,61,16,0.14769975786924938,0.064,Bryan Bresee,DL,NO
00-0035667,393,237,156,35,16,0.14767932489451477,0.10256410256410256,Greg Gaines,DL,TB
00-0034302,1174,617,557,91,46,0.14748784440842788,0.08258527827648116,Frankie Luvu,LB,WAS
00-0036260,640,346,294,51,27,0.14739884393063585,0.09183673469387756,Javon Kinlaw,DL,WAS
00-0039906,556,260,296,38,25,0.14615384615384616,0.08445945945945946,Jer'Zhan Newton,DL,WAS
00-0038386,1020,637,383,93,40,0.14599686028257458,0.10443864229765012,Jalen Carter,DL,PHI
00-0036418,1142,706,436,103,41,0.14589235127478753,0.09403669724770643,Zack Baun,LB,PHI
00-0035680,1046,563,483,82,45,0.14564831261101244,0.09316770186335403,Quincy Williams,LB,NYJ
00-0034234,604,330,274,48,19,0.14545454545454545,0.06934306569343066,Poona Ford,DL,LA
00-0035402,781,476,305,69,20,0.14495798319327732,0.06557377049180328,Carl Granderson,LB,NO
00-0038412,461,304,157,44,10,0.14473684210526316,0.06369426751592357,Moro Ojomo,DL,PHI
00-0036994,925,540,385,78,40,0.14444444444444443,0.1038961038961039,Ernest Jones,LB,SEA
00-0033336,525,277,248,40,38,0.1444043321299639,0.1532258064516129,Eric Wilson,LB,MIN
00-0031957,580,277,303,40,30,0.1444043321299639,0.09900990099009901,Rakeem Nunez-Roches,DL,NYG
00-0037259,636,298,338,43,40,0.14429530201342283,0.11834319526627218,Micah McFadden,LB,NYG
