game_id,TEN_OL,TEN_DL,ARI_OL,ARI_DL,LV_OL,LV_DL,BAL_OL,BAL_DL,CHI_OL,CHI_DL,LA_OL,LA_DL,CLE_OL,CLE_DL,KC_OL,KC_DL,TB_OL,TB_DL,DAL_OL,DAL_DL,NYG_OL,NYG_DL,DEN_OL,DEN_DL,NO_OL,NO_DL,GB_OL,GB_DL,HOU_OL,HOU_DL,JAX_OL,JAX_DL,LAC_OL,LAC_DL,WAS_OL,WAS_DL,NE_OL,NE_DL,MIA_OL,MIA_DL,MIN_OL,MIN_DL,CIN_OL,CIN_DL,NYJ_OL,NYJ_DL,CAR_OL,CAR_DL,ATL_OL,ATL_DL,PHI_OL,PHI_DL,BUF_OL,BUF_DL,PIT_OL,PIT_DL,IND_OL,IND_DL,SEA_OL,SEA_DL,DET_OL,DET_DL,SF_OL,SF_DL
2021_04_TB_NE,,,,,,,,,,,,,,,,,0.6813448099999999,0.5965015224836485,,,,,,,,,,,,,,,,,,,0.320807616,0.4636714907745186,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_04_TEN_NYJ,0.50183984,0.47586386415796067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1279088615,0.48293477343599367,,,,,,,,,,,,,,,,,,
2021_04_WAS_ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08164300190000001,0.4525415211024759,,,,,,,,,,,,,0.047623849,0.4276965236958522,,,,,,,,,,,,,,
2021_05_BUF_KC,,,,,,,,,,,,,,,0.8642122099999999,0.4137699201770656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9104318000000001,0.4125848753769847,,,,,,,,,,
2021_05_CHI_LV,,,,,0.18043400099999998,0.5519452015599324,,,0.053441361,0.5241416828382288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_05_CLE_LAC,,,,,,,,,,,,,0.225183025,0.4180867666877376,,,,,,,,,,,,,,,,,,,0.47123284199999993,0.3930485142554584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_05_DEN_PIT,,,,,,,,,,,,,,,,,,,,,,,0.39937224,0.4838027773065382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27916855500000004,0.45867414635360376,,,,,,,,
2021_05_DET_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447177211,0.42065097449302274,,,,,,,,,,,,,,,,,,,0.555400334,0.3999115806196854,,
2021_05_GB_CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419628809,0.43969198293113476,,,,,,,,,,,,,,,0.45239127500000004,0.4720055593868767,,,,,,,,,,,,,,,,,,,,
2021_05_IND_BAL,,,,,,,0.5164604939999999,0.4720633620616936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41099256,0.4335176707299279,,,,,,
2021_05_LA_SEA,,,,,,,,,,,0.3494496389999999,0.4033115285231327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149778024,0.4322763552327368,,,,
2021_05_MIA_TB,,,,,,,,,,,,,,,,,0.65960647,0.5993751307634039,,,,,,,,,,,,,,,,,,,,,0.0987460846,0.5379189167637495,,,,,,,,,,,,,,,,,,,,,,,,
2021_05_NE_HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157736873,0.43210907384777647,,,,,,,0.26523686,0.44962138322582146,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_05_NO_WAS,,,,,,,,,,,,,,,,,,,,,,,,,0.103185931,0.4587650153958193,,,,,,,,,0.081192754,0.4843580255849658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_05_NYG_DAL,,,,,,,,,,,,,,,,,,,0.6697240849999999,0.4475720511734474,0.363618715,0.4495042306148331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_05_NYJ_ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1279088615,0.4887987666261951,,,0.047623849,0.4630864187591839,,,,,,,,,,,,,,
2021_05_PHI_CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12117519699999998,0.4172970631904639,,,0.53674361,0.42607828553476007,,,,,,,,,,,,
2021_05_SF_ARI,,,0.272130031,0.4546271588931732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579796001,0.4548063696102845
2021_05_TEN_JAX,0.47687217400000004,0.4497422140525707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1146752973,0.4483886478402084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_ARI_CLE,,,0.213208235,0.4498400230399353,,,,,,,,,0.1241652013,0.4169270765416433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_BUF_TEN,0.51172733,0.4497422140525707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76917664,0.4244216861744658,,,,,,,,,,
2021_06_CIN_DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532151075,0.4589482325610139,,,,,,,,,,,,,,,,,0.5277767590000001,0.3853429120746279,,
2021_06_DAL_NE,,,,,,,,,,,,,,,,,,,0.696167175,0.4727704638718601,,,,,,,,,,,,,,,,,0.552498287,0.4454057050473655,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_GB_CHI,,,,,,,,,0.222994098,0.47957381917419967,,,,,,,,,,,,,,,,,0.390184234,0.48443773813424484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_HOU_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016084056,0.3957745999384523,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36129526,0.3687161173749533,,,,,,
2021_06_KC_WAS,,,,,,,,,,,,,,,0.8642122099999999,0.4137699201770656,,,,,,,,,,,,,,,,,,,0.6165899539999999,0.48329373349185645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_LAC_BAL,,,,,,,0.7090821599999999,0.46366558340959513,,,,,,,,,,,,,,,,,,,,,,,,,0.607478954,0.4277280172532591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_LA_NYG,,,,,,,,,,,0.3507974079999999,0.4056476817434765,,,,,,,,,0.059703663000000004,0.4492102489768833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_LV_DEN,,,,,0.18043400099999998,0.5400162488425904,,,,,,,,,,,,,,,,,0.27276745399999996,0.5400162488425904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_MIA_JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07000365730000001,0.48482522813000195,,,,,,,0.1768155,0.5379189167637495,,,,,,,,,,,,,,,,,,,,,,,,
2021_06_MIN_CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27039761100000004,0.4047553543485407,,,,,0.0,0.4430299760157574,,,,,,,,,,,,,,,,
2021_06_SEA_PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262708295,0.41838083177496965,,,0.3403580890000001,0.4262360290859365,,,,
2021_06_TB_PHI,,,,,,,,,,,,,,,,,0.65960647,0.5771905237478709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52720953,0.42860771077711907,,,,,,,,,,,,
2021_07_ATL_MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1744583156,0.5379189167637495,,,,,,,,,0.091605453,0.49306482636828264,,,,,,,,,,,,,,
2021_07_CAR_NYG,,,,,,,,,,,,,,,,,,,,,0.059703663000000004,0.4492102489768833,,,,,,,,,,,,,,,,,,,,,,,,,0.034418207,0.43425583863589157,,,,,,,,,,,,,,,,
2021_07_CHI_TB,,,,,,,,,0.014709129999999999,0.47993890554424534,,,,,,,0.65378064,0.5179830803242002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_07_CIN_BAL,,,,,,,0.6436962749999999,0.46366558340959513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42280781400000006,0.48006491333413215,,,,,,,,,,,,,,,,,,,,
2021_07_DEN_CLE,,,,,,,,,,,,,0.07685249489999998,0.4624862889248959,,,,,,,,,0.26207683,0.4838027773065382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_07_DET_LA,,,,,,,,,,,0.530149251,0.3862747006572208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.498420174,0.37650623328651533,,
2021_07_HOU_ARI,,,0.232095323,0.4498400230399353,,,,,,,,,,,,,,,,,,,,,,,,,0.0026410846,0.4247361210398881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_07_IND_SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33085924,0.4266470533395186,,,,,0.559604377,0.4560835921639837
2021_07_KC_TEN,0.61673347,0.4470271750976639,,,,,,,,,,,,,0.7535141599999999,0.4484855711128139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_07_NO_SEA,,,,,,,,,,,,,,,,,,,,,,,,,0.174998082,0.46836394788032387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276709836,0.4404176986021887,,,,
2021_07_NYJ_NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351886287,0.4833478125315397,,,,,,,0.29643460099999996,0.5088715336142152,,,,,,,,,,,,,,,,,,
2021_07_PHI_LV,,,,,0.38645166900000005,0.4849319926683662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5499840899999999,0.48955318704517603,,,,,,,,,,,,
2021_07_WAS_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401402158,0.43828770545923795,,,,,,,0.2664288889,0.4649163498154515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_08_CAR_ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4430299760157574,0.047623849,0.38306975927327613,,,,,,,,,,,,,,
2021_08_CIN_NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382658524,0.4815552804733543,0.21059943500000003,0.4532452653181901,,,,,,,,,,,,,,,,,,
2021_08_DAL_MIN,,,,,,,,,,,,,,,,,,,0.49853485499999994,0.4475720511734474,,,,,,,,,,,,,,,,,,,,,0.47661027300000003,0.4317755102248884,,,,,,,,,,,,,,,,,,,,,,
2021_08_GB_ARI,,,0.326959274,0.457625023210149,,,,,,,,,,,,,,,,,,,,,,,0.422862784,0.4406221684342921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_08_JAX_SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049577403299999996,0.4398115548110916,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276709836,0.435613040736616,,,,
2021_08_LA_HOU,,,,,,,,,,,0.33788774399999993,0.3888303344219076,,,,,,,,,,,,,,,,,0.0,0.4184888186894839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
